Industry,Percentage_Overall,State_Territory,Filings_Overall,Rank
Other,Less than 1%,Washington,885,33
Other,Less than 1%,New Mexico,611,34
Other,Less than 1%,Kentucky,574,35
Other,Less than 1%,Oregon,502,36
Other,Less than 1%,Alabama,437,37
Other,Less than 1%,South Carolina,437,37
Other,Less than 1%,Arkansas,355,38
Other,Less than 1%,South Dakota,349,39
Other,Less than 1%,Louisiana,318,40
Other,Less than 1%,North Dakota,285,41
Other,Less than 1%,Rhode Island,282,42
Other,Less than 1%,Nebraska,277,43
Other,Less than 1%,Montana,255,44
Other,Less than 1%,Maine,235,45
Other,Less than 1%,Hawaii,205,46
Other,Less than 1%,West Virginia,159,47
Other,Less than 1%,Mississippi,152,48
Other,Less than 1%,Idaho,133,49
Other,Less than 1%,Alaska,124,50
Other,Less than 1%,Wyoming,77,51
Other,Less than 1%,Northern Mariana Islands,40,52
Other,Less than 1%,Guam,25,53
Other,Less than 1%,U.S. Virgin Islands,17,54
Other,Less than 1%,Vermont,17,54
Other,Less than 1%,American Samoa,2,55
Other,Less than 1%,Marshall Islands,1,56
Other,-,Federated States of Micronesia,0,0
Other,-,Palau,0,0
Loan,54.99%,Utah,109110,1
Loan,14.33%,California,28433,2
Loan,11.10%,Michigan,22022,3
Loan,4.58%,Texas,9095,4
Loan,3.44%,Florida,6818,5
Loan,2.74%,North Carolina,5430,6
Loan,1.43%,Arizona,2842,7
Loan,1.22%,New Jersey,2412,8
Loan,1.01%,New York,2001,9
Loan,Less than 1%,Illinois,1954,10
Loan,Less than 1%,Delaware,1570,11
Loan,Less than 1%,Georgia,916,12
Loan,Less than 1%,Missouri,653,13
Loan,Less than 1%,Pennsylvania,601,14
Loan,Less than 1%,Virginia,541,15
Loan,Less than 1%,Ohio,533,16
Loan,Less than 1%,Colorado,421,17
Loan,Less than 1%,Nevada,251,18
Loan,Less than 1%,Indiana,235,19
Loan,Less than 1%,Maryland,209,20
Loan,Less than 1%,Massachusetts,200,21
Loan,Less than 1%,Tennessee,189,22
Loan,Less than 1%,Wisconsin,170,23
Loan,Less than 1%,Iowa,167,24
Loan,Less than 1%,Connecticut,153,25
Loan,Less than 1%,Minnesota,133,26
Loan,Less than 1%,Kansas,125,27
Loan,Less than 1%,Washington,122,28
Loan,Less than 1%,South Carolina,118,29
Loan,Less than 1%,New Mexico,106,30
Loan,Less than 1%,Alabama,97,31
Loan,Less than 1%,Oregon,88,32
Loan,Less than 1%,Unknown/Blank,83,33
Loan,Less than 1%,New Hampshire,71,34
Loan,Less than 1%,Oklahoma,68,35
Loan,Less than 1%,Louisiana,66,36
Loan,Less than 1%,Puerto Rico,58,37
Loan,Less than 1%,Maine,46,38
Loan,Less than 1%,Rhode Island,46,38
Loan,Less than 1%,Mississippi,43,39
Loan,Less than 1%,Idaho,41,40
Loan,Less than 1%,Kentucky,41,40
Loan,Less than 1%,Alaska,32,41
Loan,Less than 1%,Arkansas,30,42
Loan,Less than 1%,Montana,19,43
Loan,Less than 1%,Nebraska,19,43
Loan,Less than 1%,South Dakota,14,44
Loan,Less than 1%,Wyoming,12,45
Loan,Less than 1%,Hawaii,10,46
Loan,Less than 1%,West Virginia,6,47
Loan,Less than 1%,Vermont,3,48
Loan,Less than 1%,District of Columbia,2,49
Loan,Less than 1%,Guam,2,49
Loan,Less than 1%,North Dakota,1,50
Loan,-,American Samoa,0,0
Loan,-,Federated States of Micronesia,0,0
Loan,-,Marshall Islands,0,0
Loan,-,Northern Mariana Islands,0,0
Loan,-,Palau,0,0
Loan,-,U.S. Virgin Islands,0,0
