State,Year,Industry,Count
Georgia,2014,Housing Government Sponsored Enterprise GSE,2
Georgia,2014,Insurance Company,79
Georgia,2014,Loan or Finance Company,3
Georgia,2014,Money Services Business (MSB),29428
Georgia,2014,Other,323
Georgia,2014,Securities/Futures,186
Guam,2014,Depository Institution,1454
Guam,2014,Money Services Business (MSB),706
Guam,2014,Other,1
Hawaii,2014,Depository Institution,6804
Hawaii,2014,Insurance Company,19
Hawaii,2014,Money Services Business (MSB),5694
Hawaii,2014,Other,7
Hawaii,2014,Securities/Futures,14
Idaho,2014,Casino/Card Club - Tribal Authorized Casino,4
Idaho,2014,Depository Institution,1591
Idaho,2014,Money Services Business (MSB),2373
Idaho,2014,Other,10
Idaho,2014,Securities/Futures,19
Illinois,2014,Casino/Card Club - Card Club,1
Illinois,2014,Casino/Card Club - State Licensed Casino,682
Illinois,2014,Depository Institution,31892
Illinois,2014,Insurance Company,112
Illinois,2014,Loan or Finance Company,2
Illinois,2014,Money Services Business (MSB),19846
Illinois,2014,Other,350
Illinois,2014,Securities/Futures,485
Indiana,2014,Casino/Card Club - Other Casino/Card Club,1
Indiana,2014,Casino/Card Club - State Licensed Casino,1887
Indiana,2014,Casino/Card Club - Tribal Authorized Casino,1
Indiana,2014,Depository Institution,10569
Indiana,2014,Housing Government Sponsored Enterprise GSE,1
Indiana,2014,Insurance Company,46
Indiana,2014,Money Services Business (MSB),9670
Indiana,2014,Other,103
Indiana,2014,Securities/Futures,118
Iowa,2014,Casino/Card Club - State Licensed Casino,446
Iowa,2014,Casino/Card Club - Tribal Authorized Casino,10
Iowa,2014,Depository Institution,2935
Iowa,2014,Housing Government Sponsored Enterprise GSE,1
Iowa,2014,Insurance Company,153
Iowa,2014,Loan or Finance Company,2
Iowa,2014,Money Services Business (MSB),3880
Iowa,2014,Other,25
Iowa,2014,Securities/Futures,84
Kansas,2014,Casino/Card Club - State Licensed Casino,99
Kansas,2014,Casino/Card Club - Tribal Authorized Casino,61
Kansas,2014,Depository Institution,4056
Kansas,2014,Housing Government Sponsored Enterprise GSE,1
Kansas,2014,Loan or Finance Company,1
Kansas,2014,Money Services Business (MSB),4596
Kansas,2014,Other,308
Kansas,2014,Securities/Futures,29
Kentucky,2014,Casino/Card Club - Other Casino/Card Club,1
Kentucky,2014,Depository Institution,5480
Kentucky,2014,Insurance Company,3
Kentucky,2014,Money Services Business (MSB),7091
Kentucky,2014,Other,49
Kentucky,2014,Securities/Futures,156
Louisiana,2014,Casino/Card Club - Other Casino/Card Club,1
Louisiana,2014,Casino/Card Club - State Licensed Casino,2716
Louisiana,2014,Casino/Card Club - Tribal Authorized Casino,34
Louisiana,2014,Depository Institution,8647
Louisiana,2014,Insurance Company,1
Louisiana,2014,Money Services Business (MSB),12272
Louisiana,2014,Other,20
Louisiana,2014,Securities/Futures,45
Maine,2014,Casino/Card Club - State Licensed Casino,20
Maine,2014,Depository Institution,3185
Maine,2014,Money Services Business (MSB),3695
Maine,2014,Other,15
Maine,2014,Securities/Futures,11
Marshall Islands,2014,Depository Institution,4
Marshall Islands,2014,Money Services Business (MSB),17
Maryland,2014,Casino/Card Club - State Licensed Casino,416
Maryland,2014,Depository Institution,13252
Maryland,2014,Insurance Company,14
Maryland,2014,Loan or Finance Company,1
Maryland,2014,Money Services Business (MSB),19799
Maryland,2014,Other,233
Maryland,2014,Securities/Futures,177
Massachusetts,2014,Depository Institution,14179
Massachusetts,2014,Housing Government Sponsored Enterprise GSE,1
Massachusetts,2014,Insurance Company,258
Massachusetts,2014,Money Services Business (MSB),19214
Massachusetts,2014,Other,1462
Massachusetts,2014,Securities/Futures,2803
Michigan,2014,Casino/Card Club - State Licensed Casino,2280
Michigan,2014,Casino/Card Club - Tribal Authorized Casino,133
Michigan,2014,Depository Institution,16447
Michigan,2014,Insurance Company,9
Michigan,2014,Loan or Finance Company,1
Michigan,2014,Money Services Business (MSB),13354
Michigan,2014,Other,2148
Michigan,2014,Securities/Futures,118
"Micronesia, Federated States",2014,Depository Institution,27
"Micronesia, Federated States",2014,Money Services Business (MSB),16
Minnesota,2014,Casino/Card Club - Card Club,38
Minnesota,2014,Casino/Card Club - Other Casino/Card Club,1
Minnesota,2014,Casino/Card Club - Tribal Authorized Casino,405
Minnesota,2014,Depository Institution,9409
Minnesota,2014,Insurance Company,75
Minnesota,2014,Money Services Business (MSB),10449
Minnesota,2014,Other,209
Minnesota,2014,Securities/Futures,506
Mississippi,2014,Casino/Card Club - Card Club,1
Mississippi,2014,Casino/Card Club - State Licensed Casino,1160
Mississippi,2014,Casino/Card Club - Tribal Authorized Casino,41
Mississippi,2014,Depository Institution,5996
Mississippi,2014,Money Services Business (MSB),7268
Mississippi,2014,Other,9
Mississippi,2014,Securities/Futures,16
Missouri,2014,Casino/Card Club - State Licensed Casino,1044
Missouri,2014,Depository Institution,11112
Missouri,2014,Insurance Company,4
Missouri,2014,Loan or Finance Company,2
Missouri,2014,Money Services Business (MSB),8479
Missouri,2014,Other,137
Missouri,2014,Securities/Futures,1271
Montana,2014,Depository Institution,807
Montana,2014,Money Services Business (MSB),1304
Montana,2014,Other,4
Montana,2014,Securities/Futures,15
Nebraska,2014,Casino/Card Club - Tribal Authorized Casino,1
Nebraska,2014,Depository Institution,2407
Nebraska,2014,Insurance Company,20
Nebraska,2014,Money Services Business (MSB),3211
Nebraska,2014,Other,23
Nebraska,2014,Securities/Futures,885
Nevada,2014,Casino/Card Club - Other Casino/Card Club,60
Nevada,2014,Casino/Card Club - State Licensed Casino,11870
Nevada,2014,Casino/Card Club - Tribal Authorized Casino,1
Nevada,2014,Depository Institution,11171
Nevada,2014,Insurance Company,3
Nevada,2014,Loan or Finance Company,2
Nevada,2014,Money Services Business (MSB),9485
Nevada,2014,Other,61
Nevada,2014,Securities/Futures,60
New Hampshire,2014,Depository Institution,1812
New Hampshire,2014,Money Services Business (MSB),4162
New Hampshire,2014,Other,541
New Hampshire,2014,Securities/Futures,33
New Jersey,2014,Casino/Card Club,124
New Jersey,2014,Casino/Card Club - State Licensed Casino,5447
New Jersey,2014,Depository Institution,28332
New Jersey,2014,Housing Government Sponsored Enterprise GSE,1
New Jersey,2014,Insurance Company,57
New Jersey,2014,Loan or Finance Company,4
New Jersey,2014,Money Services Business (MSB),26615
New Jersey,2014,Other,347
New Jersey,2014,Securities/Futures,1282
New Mexico,2014,Casino/Card Club - Tribal Authorized Casino,219
New Mexico,2014,Depository Institution,2983
New Mexico,2014,Insurance Company,1
New Mexico,2014,Money Services Business (MSB),4344
New Mexico,2014,Other,3
New Mexico,2014,Securities/Futures,24
New York,2014,Casino/Card Club - State Licensed Casino,21
New York,2014,Casino/Card Club - Tribal Authorized Casino,120
New York,2014,Depository Institution,94816
New York,2014,Insurance Company,670
New York,2014,Loan or Finance Company,1
New York,2014,Money Services Business (MSB),96012
New York,2014,Other,3439
New York,2014,Securities/Futures,2773
North Carolina,2014,Casino/Card Club - Tribal Authorized Casino,1056
North Carolina,2014,Depository Institution,40664
North Carolina,2014,Insurance Company,7
North Carolina,2014,Loan or Finance Company,2
North Carolina,2014,Money Services Business (MSB),23593
North Carolina,2014,Other,443
North Carolina,2014,Securities/Futures,178
North Dakota,2014,Casino/Card Club - State Licensed Casino,2
North Dakota,2014,Casino/Card Club - Tribal Authorized Casino,3
North Dakota,2014,Depository Institution,851
North Dakota,2014,Insurance Company,1
North Dakota,2014,Money Services Business (MSB),1871
North Dakota,2014,Other,14
North Dakota,2014,Securities/Futures,2
Northern Mariana Islands,2014,Casino/Card Club - State Licensed Casino,13
Northern Mariana Islands,2014,Depository Institution,222
Northern Mariana Islands,2014,Money Services Business (MSB),364
Northern Mariana Islands,2014,Securities/Futures,1
Ohio,2014,Casino/Card Club - Other Casino/Card Club,21
Ohio,2014,Casino/Card Club - State Licensed Casino,1009
Ohio,2014,Casino/Card Club - Tribal Authorized Casino,1
Ohio,2014,Depository Institution,98047
Ohio,2014,Insurance Company,91
Ohio,2014,Money Services Business (MSB),20443
Ohio,2014,Other,322
Ohio,2014,Securities/Futures,160
Oklahoma,2014,Casino/Card Club - State Licensed Casino,125
Oklahoma,2014,Casino/Card Club - Tribal Authorized Casino,2261
Oklahoma,2014,Depository Institution,6819
Oklahoma,2014,Insurance Company,1
Oklahoma,2014,Loan or Finance Company,1
Oklahoma,2014,Money Services Business (MSB),8523
Oklahoma,2014,Other,207
Oklahoma,2014,Securities/Futures,45
Oregon,2014,Casino/Card Club - Tribal Authorized Casino,32
Oregon,2014,Depository Institution,6735
Oregon,2014,Loan or Finance Company,1
Oregon,2014,Money Services Business (MSB),5671
Oregon,2014,Other,30
Oregon,2014,Securities/Futures,64
Palau,2014,Depository Institution,49
Palau,2014,Money Services Business (MSB),3
Pennsylvania,2014,Casino/Card Club - State Licensed Casino,1991
Pennsylvania,2014,Depository Institution,26402
Pennsylvania,2014,Insurance Company,20
Pennsylvania,2014,Loan or Finance Company,1
Pennsylvania,2014,Money Services Business (MSB),22379
Pennsylvania,2014,Other,335
Pennsylvania,2014,Securities/Futures,673
Puerto Rico,2014,Casino/Card Club - State Licensed Casino,416
Puerto Rico,2014,Depository Institution,5402
Puerto Rico,2014,Insurance Company,24
Puerto Rico,2014,Money Services Business (MSB),9292
Puerto Rico,2014,Other,443
Puerto Rico,2014,Securities/Futures,54
Rhode Island,2014,Casino/Card Club - State Licensed Casino,225
Rhode Island,2014,Depository Institution,3199
Rhode Island,2014,Insurance Company,19
Rhode Island,2014,Loan or Finance Company,2
Rhode Island,2014,Money Services Business (MSB),2995
Rhode Island,2014,Other,23
Rhode Island,2014,Securities/Futures,2329
South Carolina,2014,Depository Institution,7564
South Carolina,2014,Insurance Company,3
South Carolina,2014,Money Services Business (MSB),9596
South Carolina,2014,Other,58
South Carolina,2014,Securities/Futures,43
South Dakota,2014,Casino/Card Club - Tribal Authorized Casino,20
South Dakota,2014,Depository Institution,13416
South Dakota,2014,Money Services Business (MSB),2405
South Dakota,2014,Securities/Futures,4
Tennessee,2014,Depository Institution,11602
Tennessee,2014,Insurance Company,2
Tennessee,2014,Loan or Finance Company,2
Tennessee,2014,Money Services Business (MSB),13819
Tennessee,2014,Other,1631
Tennessee,2014,Securities/Futures,69
Texas,2014,Casino/Card Club - Tribal Authorized Casino,51
Texas,2014,Depository Institution,70449
Texas,2014,Insurance Company,966
Texas,2014,Loan or Finance Company,18
Texas,2014,Money Services Business (MSB),84380
Texas,2014,Other,911
Texas,2014,Securities/Futures,840
Unknown,2014,Casino/Card Club - Other Casino/Card Club,2
Unknown,2014,Casino/Card Club - State Licensed Casino,10
Unknown,2014,Casino/Card Club - Tribal Authorized Casino,8
Unknown,2014,Depository Institution,319
Unknown,2014,Insurance Company,1
Unknown,2014,Money Services Business (MSB),2485
Unknown,2014,Other,149
Unknown,2014,Securities/Futures,15
Utah,2014,Casino/Card Club - State Licensed Casino,1
Utah,2014,Depository Institution,20798
Utah,2014,Insurance Company,2
Utah,2014,Loan or Finance Company,3
Utah,2014,Money Services Business (MSB),4372
Utah,2014,Other,9391
Utah,2014,Securities/Futures,5151
Vermont,2014,Depository Institution,866
Vermont,2014,Money Services Business (MSB),2313
Vermont,2014,Other,2
Vermont,2014,Securities/Futures,13
Virgin Islands,2014,Depository Institution,386
Virgin Islands,2014,Money Services Business (MSB),1871
Virginia,2014,Casino/Card Club - Card Club,1
Virginia,2014,Depository Institution,31934
Virginia,2014,Insurance Company,8
Virginia,2014,Loan or Finance Company,2
Virginia,2014,Money Services Business (MSB),21288
Virginia,2014,Other,800
Virginia,2014,Securities/Futures,769
Washington,2014,Casino/Card Club - State Licensed Casino,68
Washington,2014,Casino/Card Club - Tribal Authorized Casino,559
Washington,2014,Depository Institution,13269
Washington,2014,Housing Government Sponsored Enterprise GSE,1
Washington,2014,Insurance Company,19
Washington,2014,Loan or Finance Company,2
Washington,2014,Money Services Business (MSB),10761
Washington,2014,Other,94
Washington,2014,Securities/Futures,470
West Virginia,2014,Casino/Card Club - State Licensed Casino,1123
West Virginia,2014,Depository Institution,2533
West Virginia,2014,Money Services Business (MSB),3030
West Virginia,2014,Other,10
West Virginia,2014,Securities/Futures,14
Wisconsin,2014,Casino/Card Club - State Licensed Casino,3
Wisconsin,2014,Casino/Card Club - Tribal Authorized Casino,119
Wisconsin,2014,Depository Institution,7083
Wisconsin,2014,Insurance Company,111
Wisconsin,2014,Money Services Business (MSB),5605
Wisconsin,2014,Other,77
Wisconsin,2014,Securities/Futures,165
Wyoming,2014,Depository Institution,679
Wyoming,2014,Money Services Business (MSB),1365
Wyoming,2014,Other,4
Wyoming,2014,Securities/Futures,4
Alabama,2015,Casino/Card Club - State Licensed Casino,1
Alabama,2015,Casino/Card Club - Tribal Authorized Casino,187
Alabama,2015,Depository Institution,10951
Alabama,2015,Insurance Company,4
Alabama,2015,Money Services Business (MSB),13326
Alabama,2015,Other,23
Alabama,2015,Securities/Futures,95
Alaska,2015,Depository Institution,2279
Alaska,2015,Insurance Company,1
Alaska,2015,Money Services Business (MSB),2599
Alaska,2015,Other,24
Alaska,2015,Securities/Futures,7
American Samoa,2015,Depository Institution,110
American Samoa,2015,Money Services Business (MSB),224
Arizona,2015,Casino/Card Club - State Licensed Casino,4
Arizona,2015,Casino/Card Club - Tribal Authorized Casino,264
Arizona,2015,Depository Institution,16748
Arizona,2015,Insurance Company,3
Arizona,2015,Loan or Finance Company,23
Arizona,2015,Money Services Business (MSB),19816
Arizona,2015,Other,184
Arizona,2015,Securities/Futures,401
Arkansas,2015,Casino/Card Club - Other Casino/Card Club,5
Arkansas,2015,Depository Institution,4382
Arkansas,2015,Insurance Company,1
Arkansas,2015,Money Services Business (MSB),7415
Arkansas,2015,Other,38
Arkansas,2015,Securities/Futures,31
California,2015,Casino/Card Club - Card Club,1966
California,2015,Casino/Card Club - State Licensed Casino,584
California,2015,Casino/Card Club - Tribal Authorized Casino,2677
California,2015,Depository Institution,146527
California,2015,Housing Government Sponsored Enterprise GSE,6
California,2015,Insurance Company,101
California,2015,Loan or Finance Company,288
California,2015,Money Services Business (MSB),197915
California,2015,Other,1446
California,2015,Securities/Futures,3954
Colorado,2015,Casino/Card Club - State Licensed Casino,296
Colorado,2015,Casino/Card Club - Tribal Authorized Casino,2
Colorado,2015,Depository Institution,12656
Colorado,2015,Insurance Company,1
Colorado,2015,Loan or Finance Company,20
Colorado,2015,Money Services Business (MSB),44005
Colorado,2015,Other,242
Colorado,2015,Securities/Futures,231
Connecticut,2015,Casino/Card Club - Tribal Authorized Casino,539
Connecticut,2015,Depository Institution,10904
Connecticut,2015,Insurance Company,48
Connecticut,2015,Loan or Finance Company,1
Connecticut,2015,Money Services Business (MSB),10661
Connecticut,2015,Other,75
Connecticut,2015,Securities/Futures,302
Delaware,2015,Casino/Card Club - Other Casino/Card Club,2
Delaware,2015,Casino/Card Club - State Licensed Casino,23
Delaware,2015,Depository Institution,49938
Delaware,2015,Loan or Finance Company,35
Delaware,2015,Money Services Business (MSB),4076
Delaware,2015,Other,4902
Delaware,2015,Securities/Futures,141
District of Columbia,2015,Depository Institution,3089
District of Columbia,2015,Housing Government Sponsored Enterprise GSE,260
District of Columbia,2015,Insurance Company,3
District of Columbia,2015,Money Services Business (MSB),4852
District of Columbia,2015,Other,420
District of Columbia,2015,Securities/Futures,65
Florida,2015,Casino/Card Club - Card Club,19
Florida,2015,Casino/Card Club - Other Casino/Card Club,10
Florida,2015,Casino/Card Club - State Licensed Casino,40
Florida,2015,Casino/Card Club - Tribal Authorized Casino,2046
Florida,2015,Depository Institution,64876
Florida,2015,Housing Government Sponsored Enterprise GSE,1
Florida,2015,Insurance Company,8
Florida,2015,Loan or Finance Company,366
Florida,2015,Money Services Business (MSB),77873
Florida,2015,Other,484
Florida,2015,Securities/Futures,1323
Georgia,2015,Depository Institution,27457
Georgia,2015,Housing Government Sponsored Enterprise GSE,3
Georgia,2015,Insurance Company,154
Georgia,2015,Loan or Finance Company,20
Georgia,2015,Money Services Business (MSB),33912
Georgia,2015,Other,256
Georgia,2015,Securities/Futures,198
Guam,2015,Depository Institution,748
Guam,2015,Money Services Business (MSB),573
Guam,2015,Other,1
Hawaii,2015,Depository Institution,7228
Hawaii,2015,Insurance Company,4
Hawaii,2015,Loan or Finance Company,2
Hawaii,2015,Money Services Business (MSB),7219
Hawaii,2015,Other,5
Hawaii,2015,Securities/Futures,17
Idaho,2015,Casino/Card Club - Tribal Authorized Casino,7
Idaho,2015,Depository Institution,1780
Idaho,2015,Loan or Finance Company,1
Idaho,2015,Money Services Business (MSB),3327
Idaho,2015,Other,17
Idaho,2015,Securities/Futures,18
Illinois,2015,Casino/Card Club - Other Casino/Card Club,1
Illinois,2015,Casino/Card Club - State Licensed Casino,510
Illinois,2015,Depository Institution,32322
Illinois,2015,Insurance Company,57
Illinois,2015,Loan or Finance Company,16
Illinois,2015,Money Services Business (MSB),24600
Illinois,2015,Other,838
Illinois,2015,Securities/Futures,597
Indiana,2015,Casino/Card Club - Other Casino/Card Club,1
Indiana,2015,Casino/Card Club - State Licensed Casino,2767
Indiana,2015,Depository Institution,10485
Indiana,2015,Housing Government Sponsored Enterprise GSE,6
Indiana,2015,Insurance Company,54
Indiana,2015,Loan or Finance Company,5
Indiana,2015,Money Services Business (MSB),13023
Indiana,2015,Other,102
Indiana,2015,Securities/Futures,130
Iowa,2015,Casino/Card Club - State Licensed Casino,701
Iowa,2015,Casino/Card Club - Tribal Authorized Casino,16
Iowa,2015,Depository Institution,3483
Iowa,2015,Insurance Company,158
Iowa,2015,Loan or Finance Company,24
Iowa,2015,Money Services Business (MSB),5557
Iowa,2015,Other,52
Iowa,2015,Securities/Futures,100
Kansas,2015,Casino/Card Club - State Licensed Casino,125
Kansas,2015,Casino/Card Club - Tribal Authorized Casino,56
Kansas,2015,Depository Institution,4909
Kansas,2015,Housing Government Sponsored Enterprise GSE,3
Kansas,2015,Insurance Company,2
Kansas,2015,Money Services Business (MSB),6072
Kansas,2015,Other,111
Kansas,2015,Securities/Futures,45
Kentucky,2015,Casino/Card Club - Other Casino/Card Club,1
Kentucky,2015,Depository Institution,5177
Kentucky,2015,Insurance Company,1
Kentucky,2015,Loan or Finance Company,3
Kentucky,2015,Money Services Business (MSB),9498
Kentucky,2015,Other,76
Kentucky,2015,Securities/Futures,105
Louisiana,2015,Casino/Card Club - Other Casino/Card Club,19
Louisiana,2015,Casino/Card Club - State Licensed Casino,4020
Louisiana,2015,Casino/Card Club - Tribal Authorized Casino,35
Louisiana,2015,Depository Institution,9650
Louisiana,2015,Housing Government Sponsored Enterprise GSE,1
Louisiana,2015,Insurance Company,6
Louisiana,2015,Loan or Finance Company,2
Louisiana,2015,Money Services Business (MSB),15426
Louisiana,2015,Other,22
Louisiana,2015,Securities/Futures,51
Maine,2015,Casino/Card Club - State Licensed Casino,29
Maine,2015,Depository Institution,3266
Maine,2015,Money Services Business (MSB),6290
Maine,2015,Other,13
Maine,2015,Securities/Futures,16
Marshall Islands,2015,Depository Institution,2
Marshall Islands,2015,Money Services Business (MSB),17
Maryland,2015,Casino/Card Club - State Licensed Casino,1185
Maryland,2015,Depository Institution,15756
Maryland,2015,Housing Government Sponsored Enterprise GSE,1
Maryland,2015,Insurance Company,11
Maryland,2015,Loan or Finance Company,2
Maryland,2015,Money Services Business (MSB),23761
Maryland,2015,Other,139
Maryland,2015,Securities/Futures,133
Massachusetts,2015,Casino/Card Club - State Licensed Casino,9
Massachusetts,2015,Depository Institution,17111
Massachusetts,2015,Housing Government Sponsored Enterprise GSE,1
Massachusetts,2015,Insurance Company,212
Massachusetts,2015,Loan or Finance Company,7
Massachusetts,2015,Money Services Business (MSB),24620
Massachusetts,2015,Other,1326
Massachusetts,2015,Securities/Futures,3025
Michigan,2015,Casino/Card Club - Other Casino/Card Club,5
Michigan,2015,Casino/Card Club - State Licensed Casino,1299
Michigan,2015,Casino/Card Club - Tribal Authorized Casino,198
Michigan,2015,Depository Institution,17143
Michigan,2015,Insurance Company,14
Michigan,2015,Loan or Finance Company,167
Michigan,2015,Money Services Business (MSB),17589
Michigan,2015,Other,3029
Michigan,2015,Securities/Futures,129
"Micronesia, Federated States",2015,Depository Institution,5
"Micronesia, Federated States",2015,Money Services Business (MSB),7
Minnesota,2015,Casino/Card Club - Card Club,38
Minnesota,2015,Casino/Card Club - Other Casino/Card Club,3
Minnesota,2015,Casino/Card Club - Tribal Authorized Casino,527
Minnesota,2015,Depository Institution,8870
Minnesota,2015,Insurance Company,78
Minnesota,2015,Loan or Finance Company,5
Minnesota,2015,Money Services Business (MSB),14279
Minnesota,2015,Other,73
Minnesota,2015,Securities/Futures,481
Mississippi,2015,Casino/Card Club - State Licensed Casino,1479
Mississippi,2015,Casino/Card Club - Tribal Authorized Casino,31
Mississippi,2015,Depository Institution,9029
Mississippi,2015,Insurance Company,3
Mississippi,2015,Loan or Finance Company,1
Mississippi,2015,Money Services Business (MSB),9591
Mississippi,2015,Other,23
Mississippi,2015,Securities/Futures,48
Missouri,2015,Casino/Card Club - State Licensed Casino,1655
Missouri,2015,Depository Institution,11022
Missouri,2015,Insurance Company,4
Missouri,2015,Loan or Finance Company,16
Missouri,2015,Money Services Business (MSB),11805
Missouri,2015,Other,363
Missouri,2015,Securities/Futures,1620
Montana,2015,Casino/Card Club - Tribal Authorized Casino,4
Montana,2015,Depository Institution,970
Montana,2015,Money Services Business (MSB),2185
Montana,2015,Other,8
Montana,2015,Securities/Futures,12
Nebraska,2015,Depository Institution,2790
Nebraska,2015,Insurance Company,19
Nebraska,2015,Money Services Business (MSB),4171
Nebraska,2015,Other,40
Nebraska,2015,Securities/Futures,1008
Nevada,2015,Casino/Card Club - Card Club,8
Nevada,2015,Casino/Card Club - Other Casino/Card Club,36
Nevada,2015,Casino/Card Club - State Licensed Casino,11744
Nevada,2015,Depository Institution,12062
Nevada,2015,Insurance Company,7
Nevada,2015,Money Services Business (MSB),10663
Nevada,2015,Other,105
Nevada,2015,Securities/Futures,74
New Hampshire,2015,Depository Institution,2284
New Hampshire,2015,Loan or Finance Company,2
New Hampshire,2015,Money Services Business (MSB),6226
New Hampshire,2015,Other,227
New Hampshire,2015,Securities/Futures,26
New Jersey,2015,Casino/Card Club - State Licensed Casino,4843
New Jersey,2015,Depository Institution,29757
New Jersey,2015,Insurance Company,95
New Jersey,2015,Loan or Finance Company,20
New Jersey,2015,Money Services Business (MSB),32120
New Jersey,2015,Other,470
New Jersey,2015,Securities/Futures,1310
New Mexico,2015,Casino/Card Club - State Licensed Casino,51
New Mexico,2015,Casino/Card Club - Tribal Authorized Casino,308
New Mexico,2015,Depository Institution,3721
New Mexico,2015,Insurance Company,1
New Mexico,2015,Loan or Finance Company,1
New Mexico,2015,Money Services Business (MSB),5226
New Mexico,2015,Other,10
New Mexico,2015,Securities/Futures,20
New York,2015,Casino/Card Club - Card Club,1
New York,2015,Casino/Card Club - State Licensed Casino,28
New York,2015,Casino/Card Club - Tribal Authorized Casino,174
New York,2015,Depository Institution,96098
New York,2015,Insurance Company,826
New York,2015,Loan or Finance Company,19
New York,2015,Money Services Business (MSB),112042
New York,2015,Other,3783
New York,2015,Securities/Futures,3052
North Carolina,2015,Casino/Card Club - Tribal Authorized Casino,1274
North Carolina,2015,Depository Institution,43302
North Carolina,2015,Insurance Company,4
North Carolina,2015,Loan or Finance Company,10
North Carolina,2015,Money Services Business (MSB),34918
North Carolina,2015,Other,422
North Carolina,2015,Securities/Futures,214
North Dakota,2015,Casino/Card Club - State Licensed Casino,1
North Dakota,2015,Casino/Card Club - Tribal Authorized Casino,10
North Dakota,2015,Depository Institution,1150
North Dakota,2015,Insurance Company,1
North Dakota,2015,Money Services Business (MSB),2518
North Dakota,2015,Other,18
North Dakota,2015,Securities/Futures,3
Northern Mariana Islands,2015,Casino/Card Club - State Licensed Casino,16
Northern Mariana Islands,2015,Depository Institution,225
Northern Mariana Islands,2015,Money Services Business (MSB),575
Ohio,2015,Casino/Card Club - Other Casino/Card Club,129
Ohio,2015,Casino/Card Club - State Licensed Casino,1007
Ohio,2015,Depository Institution,91863
Ohio,2015,Insurance Company,230
Ohio,2015,Loan or Finance Company,7
Ohio,2015,Money Services Business (MSB),22859
Ohio,2015,Other,317
Ohio,2015,Securities/Futures,212
Oklahoma,2015,Casino/Card Club - State Licensed Casino,195
Oklahoma,2015,Casino/Card Club - Tribal Authorized Casino,2168
Oklahoma,2015,Depository Institution,7273
Oklahoma,2015,Loan or Finance Company,1
Oklahoma,2015,Money Services Business (MSB),10291
Oklahoma,2015,Other,110
Oklahoma,2015,Securities/Futures,51
Oregon,2015,Casino/Card Club - Tribal Authorized Casino,34
